serial_date,discount_factor
51287,0.4891586066347545
51288,0.4890916031958298
51291,0.488890647941575
51292,0.4888236812068065
51293,0.48875672364493505
51294,0.48868977525470425
51295,0.48862283603485757
51298,0.4884220733850625
51299,0.4883551708341933
51300,0.4882882774474292
51301,0.48822139322351527
51302,0.48815451816119626
51305,0.4879539479312603
51306,0.4878871095027735
51307,0.48782028022960866
51308,0.4877534601105118
51309,0.4876866491442289
51312,0.4874862711497283
51313,0.48741949678216623
51314,0.4873527315611511
51315,0.48728597548543046
51316,0.4872192285537514
51319,0.4870190426104391
51320,0.4869523322424028
51321,0.4868856310121472
51322,0.48681893891842065
51323,0.48675225595997157
51326,0.4865522618837773
51327,0.4864856154539269
51328,0.48641897815309915
51329,0.4863523499800436
51330,0.4862857309335098
51333,0.4860859285405395
51334,0.48601934598759367
51335,0.485952772554921
51336,0.48588620824127177
51337,0.48581965304539737
51340,0.48562004215193333
51341,0.4855535234146698
51342,0.4854870137889379
51343,0.48542051327348956
51344,0.4853540218670772
51347,0.48515460228957763
51348,0.4850881473068324
51349,0.48502170142688605
51350,0.4849552646484917
51351,0.48488883697040247
51354,0.4846896085255018
51355,0.4846232172361699
51356,0.4845568350409123
51357,0.48449046193848316
51358,0.48442409792763724
51361,0.48422506043214536
51362,0.48415873277518007
51363,0.4840924142035729
51364,0.4840261047160794
51365,0.4839598043114552
51368,0.4837609575823577
51369,0.48369469349677097
51370,0.4836284384878345
51371,0.48356219255430505
51372,0.4834959556949396
51375,0.48329729954939754
51376,0.4832310989742598
51377,0.4831649074670727
51378,0.48309872502659446
51379,0.483032551651583
51382,0.4828340859069327
51383,0.4827679487813725
51384,0.48270182071507206
51385,0.4826357017067904
51386,0.4825695917552868
51389,0.4823713162290395
51390,0.482305242492244
51391,0.4822391778060256
51392,0.48217312216914426
51393,0.48210707558036053
51396,0.4819089900902025
51397,0.48184297968141715
51398,0.48177697831453437
51399,0.48171098598831547
51400,0.481645002701522
51403,0.481447107065314
51404,0.4813811599238425
51405,0.4813152218156073
51406,0.48124929273937106
51407,0.48118337269389655
51410,0.48098566672967424
51411,0.48091978279487824
51412,0.4808539078846608
51413,0.48078804199778546
51414,0.48072218513301657
51417,0.48052466865898985
51418,0.4804588478702893
51419,0.48039303609751777
51420,0.48032723333944
51421,0.4802614395948214
51424,0.4800641124293744
51425,0.47999835472624747
51426,0.4799326060304079
51427,0.4798668663406223
51428,0.47980113565565696
51431,0.47960399761734795
51432,0.47953830293933036
51433,0.4794726172599673
51434,0.47940694057802635
51435,0.47934127289227485
51438,0.47914432379983607
51439,0.47907869208652176
51440,0.4790130693632375
51441,0.4789474556287516
51442,0.47888185088183294
51445,0.4786850905541701
51446,0.478619521745211
51447,0.47855396191766536
51448,0.4784884110703029
51449,0.4784228692018936
51452,0.4782262974580862
51453,0.478160791493192
51454,0.478095294501103
51455,0.47802980648059024
51456,0.4779643274304247
51459,0.4777679440897256
51460,0.4777025009086636
51461,0.477637066691807
51462,0.47757164143792785
51463,0.4775062251457984
51466,0.4773100300276336
51467,0.4772446495702291
51468,0.4771792780684383
51469,0.4771139155210343
51470,0.4770485619267908
51473,0.47685255485075956
51474,0.47678723705689535
51475,0.47672192821006143
51476,0.4766566283090321
51477,0.476591337352582
51480,0.47639551813845626
51481,0.47633026294807296
51482,0.47626501669614446
51483,0.4761997793814467
51484,0.4761345510027553
51487,0.47593891947047984
51488,0.47587372682357537
51489,0.4758085431065588
51490,0.47574336831820685
51491,0.4756782024572968
51494,0.475482758426989
51497,0.47528739469964404
51498,0.47522229129659554
51501,0.47502703458854517
51503,0.47489690802187823
51504,0.4748318581064917
51505,0.47476681710144214
51508,0.4745717475361114
51509,0.4745067421602065
51510,0.4744417456885376
51511,0.4743767581198852
51512,0.47431177945302977
51515,0.4741168968510525
51516,0.4740519537791932
51517,0.4739870196030356
51518,0.4739220943213615
51519,0.47385717793295246
51522,0.4736624821151348
51523,0.47359760128760586
51524,0.4735327293472529
51525,0.4734678662928584
51526,0.4734030121232053
51529,0.4732085029105249
51530,0.4731436842676689
51531,0.4730788745034709
51532,0.47301407361671466
51533,0.4729492816061843
51536,0.47275495881979057
51537,0.47269020230200676
51538,0.4726254546543712
51539,0.472560715875669
51540,0.47249598596468523
51543,0.472301849425899
51544,0.472237154973644
51545,0.47217246938303586
51546,0.47210779265286046
51547,0.47204312478190447
51550,0.47184917431221746
51551,0.47178454186600494
51552,0.47171991827294585
51553,0.47165530353182744
51554,0.4715906976414371
51557,0.4713969330625126
51558,0.4713323625629132
51559,0.47126780090798187
51560,0.47120324809650727
51561,0.47113870412727776
51564,0.4709451252609498
51565,0.47088061664859115
51566,0.4708161168724234
51567,0.4707516259312363
51568,0.4706871438238197
51571,0.47049375049209297
51572,0.4704293037076596
51573,0.4703648657509481
51574,0.4703004366207494
51575,0.4702360163158545
51578,0.47004280834090456
51579,0.4699784233251377
51580,0.46991404712863194
51581,0.4698496797501792
51582,0.46978532118857175
51585,0.46959229839274425
51586,0.4695279750864421
51587,0.4694636605909484
51588,0.469399354905056
51589,0.4693350580275585
51592,0.46914222023336954
51593,0.4690779585773871
51594,0.4690137057237683
51595,0.4689494616713074
51596,0.46888522641879904
51599,0.4686925734489348
51600,0.46862837338418367
51601,0.4685641821133596
51602,0.46849999963525796
51603,0.46843582594867444
51606,0.4682433576259912
51607,0.46817921909343946
51608,0.4681150893463863
51609,0.46805096838362836
51614,0.46773049529215843
51615,0.4676664270099093
51616,0.46760236750353584
51617,0.46753831677183627
51620,0.4673462172127623
51621,0.46728220156774053
51623,0.46715419658249313
51624,0.46709020723986566
51627,0.466898291797559
51628,0.46683433750798053
51629,0.46677039197866355
51630,0.4667064552084083
51631,0.4666425271960148
51634,0.4664507956940099
51635,0.466386902701069
51636,0.4663230184599934
51637,0.46625914296958454
51638,0.4661952762286433
51641,0.4660037284906434
51642,0.46593989673559083
51643,0.4658760737240153
51644,0.46581225945471927
51645,0.4657484539265052
51648,0.4655570897763828
51649,0.4654933192005252
51650,0.46542955735976466
51651,0.46536580425290464
51652,0.4653020598787487
51655,0.46511087914054494
51656,0.4650471696852455
51657,0.4649834689566711
51658,0.46491977695362613
51659,0.4648560936749155
51662,0.46466509617284035
51663,0.46460144777951856
51664,0.46453780810455747
51665,0.46447417714676303
51666,0.4644105549049412
51669,0.464219740463373
51670,0.4641561530735041
51671,0.46409257439364004
51672,0.4640290044225876
51673,0.46396544315915406
51676,0.46377481160263934
51677,0.4637112851577551
51678,0.4636477674145276
51679,0.46358425837176476
51680,0.4635207580282751
51683,0.4633303091815287
51684,0.4632668436232167
51685,0.46320338675822137
51686,0.4631399385853518
51687,0.4630764991034175
51690,0.46288623279132246
51691,0.4628228280612262
51692,0.4627594320161146
51693,0.4626960446547979
51694,0.4626326659760867
51697,0.46244258202369337
51698,0.46237923806351255
51699,0.4623159027799921
51700,0.4622525761719439
51701,0.46218925823817913
51704,0.4619993564707061
51705,0.461936073222196
51706,0.46187279864203024
51707,0.46180953272902153
51708,0.4617462754819827
51711,0.4615565557248159
51712,0.46149333312978774
51713,0.4614301191947958
51714,0.46136691391865403
51715,0.46130371730017616
51718,0.46111417937886856
51719,0.46105101737918935
51720,0.46098786403124636
51721,0.4609247193338543
51722,0.4608615832858285
51725,0.46067222702610056
51726,0.4606091255636931
51727,0.4605460327447295
51728,0.46048294856802596
51729,0.4604198730323985
51732,0.46023069826013785
51733,0.46016765727698045
51734,0.4601046249289827
51735,0.4600416012149618
51736,0.45997858613373516
51739,0.4597895926749959
51740,0.4597266121131226
51741,0.45966364017813266
51742,0.45960067686884437
51743,0.4595377221840762
51746,0.4593489098650796
51747,0.45928598966657985
51748,0.45922307808669516
51749,0.45916017512424484
51750,0.4590972807780485
51753,0.458908649425182
51754,0.45884578953220106
51755,0.4587829382495746
51756,0.45872009557612314
51757,0.45865726151066755
51760,0.45846881095048525
51761,0.45840601130522357
51762,0.4583432202620637
51763,0.4582804378198275
51764,0.45821766397733676
51767,0.45802939403655896
51768,0.4579666545812724
51769,0.4579039237198429
51770,0.4578412014510937
51771,0.4577784877738476
51774,0.4575903982793605
51775,0.45752771895636024
51776,0.4574650482189804
51777,0.4574023860660452
51778,0.45733973249637866
51781,0.4571518232752346
51782,0.45708920402688713
51783,0.45702659335593143
51784,0.4569639912611925
51785,0.45690139774149574
51788,0.45671366862091267
51789,0.4566511093896399
51790,0.4565885587275379
51791,0.4565260166334329
51792,0.4564634831061513
51795,0.45627593391351284
51796,0.45621343464179165
51797,0.4561509439310283
51798,0.45608846178004986
51799,0.45602598818768403
51802,0.45583861875053927
51803,0.4557761793809018
51804,0.455713748564017
51805,0.455651326298713
51806,0.4555889125838186
51809,0.4554017227298818
51810,0.45533934320491537
51811,0.45527697222450403
51812,0.45521460978747746
51813,0.4551522558926654
51816,0.4549652454498159
51817,0.4549029257121626
51818,0.45484061451087493
51819,0.45477831184478357
51820,0.4547160177127196
51823,0.45452918650900204
51824,0.454466926501359
51825,0.4544046750218999
51826,0.4543424320694568
51827,0.4542801976428614
51830,0.45409354550648506
51831,0.45403134517160443
51832,0.45396915335673393
51833,0.45390697006070674
51834,0.4538447952823558
51837,0.45365832204169443
51838,0.4535961813223831
51839,0.45353404911491607
51840,0.4534719254181275
51841,0.4534098102308513
51844,0.45322351571444336
51845,0.45316143455356317
51846,0.4530993618963692
51847,0.4530372977416965
51848,0.45297524208838047
51851,0.4527891261249287
51852,0.4527271044653961
51853,0.4526650913013995
51854,0.45260308663177506
51855,0.4525410904553592
51858,0.45235515287373035
51859,0.4522931906585168
51862,0.45210735493258614
51865,0.4519215955618112
51866,0.4518596927339426
51868,0.4517359125148197
51869,0.4516740351212428
51872,0.4514884537905166
51873,0.45142661029307335
51874,0.45136477526676183
51875,0.45130294871042176
51876,0.4512411306228929
51879,0.4510557271615739
51880,0.4509939429376911
51881,0.45093216717682105
51882,0.45087039987780425
51883,0.4508086410394818
51886,0.4506234152770921
51887,0.45056169026995935
51888,0.45049997371772793
51889,0.4504382656192397
51890,0.45037656597333675
51893,0.45019151773956173
51894,0.4501298518924231
51895,0.4500681944920822
51896,0.4500065455373821
51897,0.4499449050271658
51900,0.44976003415185417
51901,0.44969842740800803
51902,0.4496368291028639
51903,0.4495752392352658
51904,0.44951365780405805
51907,0.44932896411722156
51908,0.44926741642002077
51909,0.4492058771534339
51910,0.44914434631630606
51911,0.4490828239074829
51914,0.4488983072392962
51915,0.44883681853214774
51916,0.4487753382475329
51917,0.44871386638429817
51918,0.4486524029412898
51921,0.44846806312209025
51922,0.4484066333484555
51923,0.4483452119892818
51924,0.4482837990434167
51925,0.4482223945097077
51928,0.4480382313699956
51929,0.4479768604733899
51930,0.44791549798318064
51931,0.44785414389821626
51932,0.4477927982173453
51935,0.447608811587783
51936,0.4475474995117762
51937,0.4474861958341086
51938,0.44742490055363
51939,0.44736361366919
51942,0.44717980338060226
51943,0.44711855006881795
51944,0.44705730514732367
51945,0.44699606861497
51946,0.4469348404706078
51949,0.44675120635398174
51950,0.4466900117500976
51951,0.4466288255284619
51952,0.44656764768792634
51953,0.4465064782273429
51956,0.4463230201138273
51957,0.44626188416157525
51958,0.4462007565835377
51959,0.44613963737856727
51964,0.4458341669095889
51965,0.4457730979189427
51966,0.44571203729333875
51967,0.44565098503163114
51970,0.4454678784184308
51971,0.44540685960085363
51972,0.44534584914144615
51973,0.4452848470390633
51974,0.4452238532925607
51977,0.44504092217688807
51978,0.4449799618424615
51979,0.4449190098581938
51980,0.44485806622294105
51981,0.44479713093555984
51984,0.4446143751492104
